time, Quad.GPS.X
0.105000,0.929729
0.205000,-0.850947
0.305000,-0.294932
0.404998,0.645151
0.504997,-0.905466
0.604996,-0.284853
0.704994,0.275179
0.804993,0.895311
0.904992,-0.066534
1.004991,-0.078264
1.104996,0.693985
1.205000,-0.048320
1.305005,0.607243
1.405010,-0.699849
1.505014,0.150907
1.605019,0.017971
1.705024,0.292819
1.805028,-0.729360
1.905033,-0.011076
2.005037,0.544786
2.105030,-0.793438
2.205023,-0.124108
2.305015,1.235513
2.405008,-0.554027
2.505001,-0.173314
2.604994,0.654668
2.704986,-0.093643
2.804979,0.320952
2.904972,-0.336374
3.004965,0.796445
3.104957,-0.426209
3.204950,-0.207101
3.304943,-1.281037
3.404936,0.301685
3.504928,-1.102426
3.604921,-0.815076
3.704914,-0.315514
3.804907,0.773308
3.904899,-0.124393
4.004892,-0.276985
4.104885,-0.704571
4.204878,-0.603914
4.304871,0.683655
4.404863,0.324302
4.504856,0.753511
4.604849,-0.654489
4.704842,-0.444888
4.804834,1.085035
4.904827,0.235456
5.004820,0.300601
5.104813,0.434036
5.204805,-0.477950
5.304798,-1.190581
5.404791,1.511895
5.504784,-0.935624
5.604776,0.524490
5.704769,-0.829624
5.804762,0.894696
5.904755,0.964909
6.004747,0.311845
6.104740,-0.537292
6.204733,0.567435
6.304726,0.376903
6.404718,1.460522
6.504711,-1.056988
6.604704,1.148691
6.704697,-0.201796
6.804689,-0.872144
6.904682,1.044520
7.004675,0.244470
7.104668,0.191836
7.204660,0.202307
7.304653,-0.435629
7.404646,-0.622568
7.504639,-0.066315
7.604631,0.665671
7.704624,-0.438064
7.804617,0.320995
7.904610,0.140723
8.004604,1.233394
8.104645,-0.167824
8.204685,-2.065423
8.304726,-0.608273
8.404766,-1.550543
8.504807,0.768261
8.604847,0.344105
8.704887,-0.403167
8.804928,-0.686380
8.904968,-0.477734
9.005009,-0.699364
9.105049,1.402792
9.205090,-0.958118
9.305130,-0.454976
9.405170,-0.554085
9.505211,-0.666574
9.605251,0.090986
9.705292,-0.034513
9.805332,-0.507203
9.905373,0.853413
