time, Quad.IMU.AX
0.005000,0.143543
0.010000,-0.840799
0.015000,0.020169
0.020000,-0.815558
0.025000,0.888914
0.030000,-0.284634
0.035000,-1.129344
0.040000,-0.493074
0.045000,0.121816
0.050000,-0.382285
0.055000,0.409849
0.060000,-0.057604
0.065000,-0.348503
0.070000,-0.888079
0.075000,-0.589252
0.080000,-0.011017
0.085000,-0.364289
0.090000,-0.191822
0.095000,-0.517043
0.100000,0.140354
0.105000,-0.370007
0.110000,0.007689
0.115000,-0.036374
0.120000,-0.580329
0.125000,-0.966946
0.130000,0.506033
0.135000,-0.205429
0.140000,0.080053
0.145000,0.646674
0.150000,-0.179630
0.155000,-0.235101
0.160000,0.656761
0.165000,0.436067
0.170000,-1.014712
0.175000,0.238246
0.180000,0.366836
0.185000,-0.364565
0.190000,0.181727
0.195000,0.479264
0.200000,0.169139
0.205000,-0.400769
0.210000,0.168628
0.215000,0.528664
0.220000,-0.056328
0.225000,-0.035365
0.230000,0.548222
0.235000,-0.115732
0.240000,0.560869
0.245000,0.089660
0.250000,-0.641155
0.255000,0.156059
0.260000,1.093130
0.265000,-0.259024
0.270000,0.578782
0.275000,-0.361612
0.280000,-0.104321
0.285000,0.174032
0.290000,-1.092222
0.295000,0.119903
0.300000,0.263640
0.305000,-0.517387
0.310000,-0.279796
0.314999,-0.303416
0.319999,0.052006
0.324999,-0.519585
0.329999,-0.049933
0.334999,0.030447
0.339999,0.905977
0.344999,-0.144626
0.349999,1.065824
0.354999,0.412564
0.359999,-0.983437
0.364999,-0.596279
0.369999,0.000096
0.374999,-0.031278
0.379999,0.411550
0.384999,-0.396914
0.389999,0.970082
0.394998,-0.442895
0.399998,0.543110
0.404998,-0.470543
0.409998,0.056445
0.414998,-0.074498
0.419998,0.296080
0.424998,-0.023978
0.429998,0.119997
0.434998,0.052989
0.439998,0.265151
0.444998,0.161285
0.449998,0.049629
0.454998,0.146003
0.459998,-0.512635
0.464998,0.356647
0.469997,-0.474901
0.474997,-1.578306
0.479997,-0.647201
0.484997,0.673500
0.489997,-0.103104
0.494997,-0.727295
0.499997,-0.919375
0.504997,0.331974
0.509997,-0.001764
0.514997,0.173603
0.519997,-0.018541
0.524997,-0.167370
0.529997,0.464368
0.534997,-0.398982
0.539997,-0.888693
0.544997,0.361895
0.549996,0.348850
0.554996,0.116414
0.559996,0.894972
0.564996,0.535224
0.569996,1.296937
0.574996,0.206631
0.579996,-0.575717
0.584996,-0.147160
0.589996,-0.668124
0.594996,0.156918
0.599996,-0.048935
0.604996,0.328734
0.609996,-0.249070
0.614996,-0.036646
0.619996,-0.550183
0.624996,0.177044
0.629995,0.496695
0.634995,0.141836
0.639995,-0.957849
0.644995,-0.560749
0.649995,0.590531
0.654995,0.126331
0.659995,-0.373387
0.664995,0.037643
0.669995,-0.409398
0.674995,-0.121230
0.679995,0.090591
0.684995,0.657320
0.689995,-0.087680
0.694995,-0.060200
0.699995,0.332251
0.704994,0.884581
0.709994,0.410726
0.714994,0.091924
0.719994,-0.283928
0.724994,-0.507878
0.729994,-0.030821
0.734994,0.484121
0.739994,-0.149353
0.744994,-0.197955
0.749994,-0.013075
0.754994,0.074987
0.759994,0.447796
0.764994,0.722748
0.769994,-0.126795
0.774994,0.275829
0.779994,-0.371922
0.784993,-0.255665
0.789993,-0.481055
0.794993,-0.494582
0.799993,-0.312103
0.804993,-0.156373
0.809993,-0.597971
0.814993,-0.609043
0.819993,0.151358
0.824993,-0.305942
0.829993,-0.048531
0.834993,-0.320360
0.839993,0.140478
0.844993,0.922180
0.849993,0.582498
0.854993,-0.412774
0.859993,-0.551529
0.864992,0.193537
0.869992,0.239525
0.874992,-0.527280
0.879992,-0.088830
0.884992,0.174669
0.889992,0.248222
0.894992,0.493738
0.899992,-0.514885
0.904992,0.175955
0.909992,-0.569583
0.914992,0.559231
0.919992,0.549540
0.924992,-0.424895
0.929992,-0.871443
0.934992,0.195813
0.939991,0.830160
0.944991,0.195337
0.949991,-1.331004
0.954991,-0.433159
0.959991,-0.342041
0.964991,0.141818
0.969991,0.029867
0.974991,-0.009625
0.979991,-0.302433
0.984991,-0.279811
0.989991,0.013693
0.994991,-0.471597
0.999991,0.015735
1.004991,0.541999
1.009991,-0.119072
1.014991,0.591661
1.019992,-0.041255
1.024992,-0.818221
1.029992,-0.749169
1.034992,-0.108725
1.039993,0.989482
1.044993,0.678274
1.049993,0.166018
1.054993,0.467131
1.059994,0.336302
1.064994,-1.437952
1.069994,0.330380
1.074994,0.289182
1.079994,0.227623
1.084995,0.123448
1.089995,-0.050036
1.094995,0.179719
1.099995,-0.359214
1.104996,0.459364
1.109996,-0.287756
1.114996,-0.248118
1.119996,0.840666
1.124997,0.633155
1.129997,0.182835
